Date,Close,Open,High,Low,Volume,Change,Symbol
2017-01-03,116.9,117.97,118.22,116.12,2360000.0,-0.0025,LIN
2017-01-04,116.85,117.37,117.41,116.45,1560000.0,-0.0004,LIN
2017-01-05,115.67,116.24,116.39,115.0,1760000.0,-0.0101,LIN
2017-01-06,116.2,115.72,116.4,115.14,1910000.0,0.0046,LIN
2017-01-09,116.55,116.47,117.23,115.97,1140000.0,0.003,LIN
2017-01-10,115.85,116.79,116.97,115.69,928290.0,-0.006,LIN
2017-01-11,116.92,115.78,117.0,115.1,995080.0,0.0092,LIN
2017-01-12,117.25,117.0,117.55,116.53,1100000.0,0.0028000000000000004,LIN
2017-01-13,117.08,117.23,117.64,116.73,1090000.0,-0.0014000000000000002,LIN
2017-01-17,116.92,116.62,117.22,116.36,1420000.0,-0.0014000000000000002,LIN
2017-01-18,116.6,116.71,117.12,116.47,1390000.0,-0.0027,LIN
2017-01-19,116.1,116.51,116.9,115.82,1970000.0,-0.0043,LIN
2017-01-20,117.39,116.18,117.39,115.88,1300000.0,0.0111,LIN
2017-01-23,116.68,117.21,117.588,116.49,1750000.0,-0.006,LIN
2017-01-24,117.69,117.2,118.225,117.0,3540000.0,0.0087,LIN
2017-01-25,119.57,117.89,120.19,117.28,3920000.0,0.016,LIN
2017-01-26,119.5,116.54,119.76,115.71,1980000.0,-0.0006,LIN
2017-01-27,120.2,120.45,121.0,119.5,1740000.0,0.0059,LIN
2017-01-30,119.3,119.36,119.53,117.86,1650000.0,-0.0075,LIN
2017-01-31,118.44,118.76,118.88,118.055,1360000.0,-0.0072,LIN
2017-02-01,117.95,117.32,118.46,117.14,1320000.0,-0.0040999999999999995,LIN
2017-02-02,116.62,116.88,117.34,116.54,1710000.0,-0.0113,LIN
2017-02-03,117.47,116.91,117.76,116.81,1120000.0,0.0073,LIN
2017-02-06,116.44,117.06,117.11,116.07,1450000.0,-0.0088,LIN
2017-02-07,116.3,115.86,116.74,115.54,1580000.0,-0.0012,LIN
2017-02-08,116.3,115.96,116.625,115.53,891580.0,0.0,LIN
2017-02-09,115.76,116.42,116.74,115.6,1030000.0,-0.0046,LIN
2017-02-10,116.23,116.2,116.58,115.76,1250000.0,0.0040999999999999995,LIN
2017-02-13,117.44,116.97,117.95,116.6,1060000.0,0.0104,LIN
2017-02-14,117.32,116.79,117.59,115.88,767710.0,-0.001,LIN
2017-02-15,117.59,116.92,117.74,116.71,884690.0,0.0023,LIN
2017-02-16,117.5,117.7,118.23,117.12,1810000.0,-0.0008,LIN
2017-02-17,117.42,117.66,117.91,117.27,906060.0,-0.0007000000000000001,LIN
2017-02-21,118.31,117.3,118.95,117.04,1600000.0,0.0076,LIN
2017-02-22,117.79,117.82,118.54,117.55,862480.0,-0.0044,LIN
2017-02-23,118.06,118.01,118.47,117.655,853790.0,0.0023,LIN
2017-02-24,118.11,117.11,118.24,116.831,833430.0,0.0004,LIN
2017-02-27,118.52,118.0,119.71,117.8,1740000.0,0.0034999999999999996,LIN
2017-02-28,118.71,118.07,119.12,117.35,1620000.0,0.0016,LIN
2017-03-01,120.36,119.78,120.62,119.32,1280000.0,0.0139,LIN
2017-03-02,118.78,120.33,120.62,118.68,1060000.0,-0.0131,LIN
2017-03-03,117.6,118.03,118.05799999999999,117.37,1080000.0,-0.009899999999999999,LIN
2017-03-06,117.73,117.17,118.32,117.14,1200000.0,0.0011,LIN
2017-03-07,118.79,117.63,119.04,117.28,1680000.0,0.009000000000000001,LIN
2017-03-08,118.57,118.2,119.61,118.16,2720000.0,-0.0019,LIN
2017-03-09,116.99,118.15,118.7,116.61,1730000.0,-0.013300000000000001,LIN
2017-03-10,116.95,117.53,117.68,116.88,1410000.0,-0.0003,LIN
2017-03-13,116.72,117.34,117.34,115.98700000000001,1580000.0,-0.002,LIN
2017-03-14,116.65,116.42,117.19,116.22,1460000.0,-0.0006,LIN
2017-03-15,118.62,117.3,118.95,116.7,1610000.0,0.0169,LIN
2017-03-16,117.12,118.69,119.19,117.04,1570000.0,-0.0126,LIN
2017-03-17,118.32,117.72,118.48,117.555,2300000.0,0.0102,LIN
2017-03-20,118.24,118.42,118.71,117.98,643430.0,-0.0007000000000000001,LIN
2017-03-21,116.95,118.28,118.639,116.6,1050000.0,-0.0109,LIN
2017-03-22,117.07,116.75,117.48,116.28,1100000.0,0.001,LIN
2017-03-23,117.64,116.95,118.15,116.47,781120.0,0.0049,LIN
2017-03-24,116.41,117.54,118.12,116.15,850590.0,-0.0105,LIN
2017-03-27,117.89,115.8,118.22,115.67,1310000.0,0.0127,LIN
2017-03-28,118.78,118.56,119.4,117.74,2120000.0,0.0075,LIN
2017-03-29,118.38,118.69,119.61,118.29,1310000.0,-0.0034000000000000002,LIN
2017-03-30,118.6,118.12,119.6,118.04,1730000.0,0.0019,LIN
2017-03-31,118.6,118.23,119.47,118.09,1470000.0,0.0,LIN
2017-04-03,118.0,118.75,119.25,117.11,1830000.0,-0.0051,LIN
2017-04-04,119.27,118.46,119.58,118.07,1010000.0,0.0108,LIN
2017-04-05,118.13,120.0,120.0,117.9,1440000.0,-0.0096,LIN
2017-04-06,119.37,118.38,119.75,118.2,1240000.0,0.0105,LIN
2017-04-07,118.85,119.15,119.5,118.46,1080000.0,-0.0044,LIN
2017-04-10,119.57,118.67,119.93,118.0,686470.0,0.0060999999999999995,LIN
2017-04-11,119.18,119.23,119.54,118.635,1020000.0,-0.0033,LIN
2017-04-12,118.23,118.69,119.28,118.05,903960.0,-0.008,LIN
2017-04-13,117.47,118.01,118.82,117.4,818590.0,-0.0064,LIN
2017-04-17,118.05,117.76,118.84,117.43,660860.0,0.0049,LIN
2017-04-18,118.32,118.05,118.71,117.61,1500000.0,0.0023,LIN
2017-04-19,118.16,119.2,119.4,117.85,1120000.0,-0.0014000000000000002,LIN
2017-04-20,119.73,118.73,120.05,118.31,1030000.0,0.013300000000000001,LIN
2017-04-21,119.58,119.71,120.07,119.07,853900.0,-0.0013,LIN
2017-04-24,123.01,121.44,123.12,121.1,1900000.0,0.0287,LIN
2017-04-25,124.7,123.54,124.75,123.15,1670000.0,0.0137,LIN
2017-04-26,125.11,124.52,125.91,124.105,1540000.0,0.0033,LIN
2017-04-27,125.48,123.2,125.97,120.02,1650000.0,0.003,LIN
2017-04-28,124.98,125.12,125.67,124.11,1520000.0,-0.004,LIN
2017-05-01,124.96,125.39,125.5,124.51,939310.0,-0.0002,LIN
2017-05-02,125.57,125.44,125.62,124.51,1290000.0,0.0049,LIN
2017-05-03,125.53,125.38,125.86,125.04,1000000.0,-0.0003,LIN
2017-05-04,126.32,125.79,126.36,125.43,1460000.0,0.0063,LIN
2017-05-05,129.48,126.62,129.53,126.33,2040000.0,0.025,LIN
2017-05-08,129.09,128.39,129.29,128.32,1010000.0,-0.003,LIN
2017-05-09,128.62,129.11,129.43,128.52,861970.0,-0.0036,LIN
2017-05-10,129.17,128.57,129.21,128.2,830400.0,0.0043,LIN
2017-05-11,129.09,128.99,129.34,128.0,898520.0,-0.0006,LIN
2017-05-12,129.72,128.69,129.96,128.63,1110000.0,0.0049,LIN
2017-05-15,130.17,129.96,130.44,129.44,2029999.9999999998,0.0034999999999999996,LIN
2017-05-16,131.03,130.32,131.74,130.32,1770000.0,0.0066,LIN
2017-05-17,128.82,130.33,130.87,128.81,1340000.0,-0.0169,LIN
2017-05-18,128.37,124.46,128.6,122.9,2089999.9999999998,-0.0034999999999999996,LIN
2017-05-19,129.23,128.77,129.59,128.4,1080000.0,0.0067,LIN
2017-05-22,129.82,129.95,130.2,129.21,689040.0,0.0046,LIN
2017-05-23,129.97,130.15,130.48,129.33,801060.0,0.0012,LIN
2017-05-24,132.27,130.02,133.68,129.41299999999998,2260000.0,0.0177,LIN
2017-05-25,131.93,133.13,133.2,131.63,1320000.0,-0.0026,LIN
2017-05-26,131.97,131.84,132.22,131.39,957150.0,0.0003,LIN
2017-05-30,131.59,131.64,131.65,130.99,1720000.0,-0.0029,LIN
2017-05-31,132.29,131.68,132.38,131.26,1020000.0,0.0053,LIN
2017-06-01,134.09,132.5,138.69,132.09,2290000.0,0.013600000000000001,LIN
2017-06-02,136.62,134.57,137.86,134.16,2350000.0,0.0189,LIN
2017-06-05,133.42,136.0,136.41,133.22,1770000.0,-0.023399999999999997,LIN
2017-06-06,133.29,132.8,134.15,132.43,1080000.0,-0.001,LIN
2017-06-07,133.08,134.56,135.205,132.69,1730000.0,-0.0016,LIN
2017-06-08,132.98,132.64,133.32,131.77,1550000.0,-0.0008,LIN
2017-06-09,136.19,133.56,136.23,133.54,1840000.0,0.0241,LIN
2017-06-12,134.97,136.25,137.0,134.71,1390000.0,-0.009000000000000001,LIN
2017-06-13,136.28,134.8,136.41,134.76,1010000.0,0.0097,LIN
2017-06-14,135.19,136.27,136.455,134.76,871050.0,-0.008,LIN
2017-06-15,134.86,134.11,135.13,133.78,1180000.0,-0.0024,LIN
2017-06-16,136.0,135.34,136.02,134.629,1820000.0,0.0085,LIN
2017-06-19,136.46,136.5,136.96,136.02,1260000.0,0.0034000000000000002,LIN
2017-06-20,134.76,135.89,136.51,134.57,1460000.0,-0.0125,LIN
2017-06-21,132.86,135.1,135.27,132.78,1060000.0,-0.0141,LIN
2017-06-22,132.47,132.86,133.4,132.29,1980000.0,-0.0029,LIN
2017-06-23,132.8,132.49,133.81,132.29,1880000.0,0.0025,LIN
2017-06-26,132.88,133.15,133.19,132.22,768660.0,0.0006,LIN
2017-06-27,132.23,133.31,133.31,132.03,833790.0,-0.0049,LIN
2017-06-28,133.64,133.31,134.11,132.66,1130000.0,0.010700000000000001,LIN
2017-06-29,131.67,133.75,133.8,131.1,978320.0,-0.0147,LIN
2017-06-30,132.55,131.94,133.2,131.34,1500000.0,0.0067,LIN
2017-07-03,134.18,132.29,134.815,132.29,903020.0,0.0123,LIN
2017-07-05,132.66,134.22,134.54,132.19,1070000.0,-0.0113,LIN
2017-07-06,132.43,132.45,133.3,132.33,1600000.0,-0.0017000000000000001,LIN
2017-07-07,133.06,132.53,133.27,131.82,1190000.0,0.0048,LIN
2017-07-10,133.34,132.65,134.09,132.49,737670.0,0.0021,LIN
2017-07-11,132.96,133.29,133.5,132.43,657010.0,-0.0028000000000000004,LIN
2017-07-12,133.82,134.39,134.48,133.65,1250000.0,0.006500000000000001,LIN
2017-07-13,133.58,133.78,134.21,133.29,871140.0,-0.0018,LIN
2017-07-14,134.31,134.06,134.68,133.55,1080000.0,0.0055000000000000005,LIN
2017-07-17,134.54,134.5,134.91,134.09,1190000.0,0.0017000000000000001,LIN
2017-07-18,134.16,134.27,134.49,133.46,848420.0,-0.0028000000000000004,LIN
2017-07-19,135.62,134.16,135.7,133.95,726510.0,0.0109,LIN
2017-07-20,135.21,135.57,135.9,134.64,925740.0,-0.003,LIN
2017-07-21,134.74,135.1,135.31,134.43,813850.0,-0.0034999999999999996,LIN
2017-07-24,135.22,134.81,135.57,134.4,917090.0,0.0036,LIN
2017-07-25,135.86,136.37,136.59,135.33,1010000.0,0.004699999999999999,LIN
2017-07-26,135.03,135.34,135.8,134.38,1140000.0,-0.0060999999999999995,LIN
2017-07-27,132.71,135.0,135.57,131.8,1810000.0,-0.0172,LIN
2017-07-28,132.26,132.71,133.36,130.9,1490000.0,-0.0034000000000000002,LIN
2017-07-31,130.16,132.46,132.46,129.46,2100000.0,-0.0159,LIN
2017-08-01,130.71,131.12,132.27,129.94,1780000.0,0.0042,LIN
2017-08-02,130.6,130.65,131.0,130.01,963500.0,-0.0008,LIN
2017-08-03,130.32,130.66,130.82,129.94,699320.0,-0.0021,LIN
2017-08-04,130.15,130.32,130.71,129.62,1140000.0,-0.0013,LIN
2017-08-07,130.22,130.39,130.54,129.89,521870.0,0.0005,LIN
2017-08-08,128.58,130.09,130.09,128.26,1140000.0,-0.0126,LIN
2017-08-09,128.86,128.47,128.96,127.9,1360000.0,0.0022,LIN
2017-08-10,127.62,128.49,128.93,127.58,1130000.0,-0.0096,LIN
2017-08-11,127.44,127.68,128.485,127.36,582990.0,-0.0014000000000000002,LIN
2017-08-14,131.06,128.53,131.16,128.53,1650000.0,0.028399999999999998,LIN
2017-08-15,131.47,130.82,131.675,130.66,1030000.0,0.0031,LIN
2017-08-16,133.59,131.64,134.15,131.6,1770000.0,0.0161,LIN
2017-08-17,131.79,133.57,133.82,131.59,980240.0,-0.013500000000000002,LIN
2017-08-18,132.3,131.78,132.48,131.0,935070.0,0.0039000000000000003,LIN
2017-08-21,131.21,131.62,132.05,130.98,1030000.0,-0.008199999999999999,LIN
2017-08-22,132.75,132.08,133.19,132.06,910500.0,0.011699999999999999,LIN
2017-08-23,132.38,132.63,133.42,131.69,826790.0,-0.0028000000000000004,LIN
2017-08-24,132.15,132.73,132.975,131.81,624160.0,-0.0017000000000000001,LIN
2017-08-25,132.42,132.37,132.98,132.08,527580.0,0.002,LIN
2017-08-28,132.08,132.6,132.87,131.52,479050.0,-0.0026,LIN
2017-08-29,130.88,130.15,131.15,129.74,576710.0,-0.0091,LIN
2017-08-30,130.64,130.88,131.02,129.94,1890000.0,-0.0018,LIN
2017-08-31,131.54,130.64,131.66,130.48,1150000.0,0.0069,LIN
2017-09-01,131.03,131.15,131.99,130.678,901670.0,-0.0039000000000000003,LIN
2017-09-05,130.3,130.76,130.91,129.83,819470.0,-0.005600000000000001,LIN
2017-09-06,131.77,130.91,131.79,130.73,1670000.0,0.0113,LIN
2017-09-07,132.24,132.2,132.6,131.64,1380000.0,0.0036,LIN
2017-09-08,132.46,131.89,132.61,131.64,807720.0,0.0017000000000000001,LIN
2017-09-11,135.01,132.49,135.05,132.49,2150000.0,0.019299999999999998,LIN
2017-09-12,134.82,134.33,135.86,133.9,1420000.0,-0.0014000000000000002,LIN
2017-09-13,134.15,134.45,134.75,133.65,858420.0,-0.005,LIN
2017-09-14,134.09,133.7,134.55,133.04,1310000.0,-0.0004,LIN
2017-09-15,134.22,134.19,134.84,133.42,1840000.0,0.001,LIN
2017-09-18,134.74,134.65,134.98,133.84,1030000.0,0.0039000000000000003,LIN
2017-09-19,136.51,135.07,136.58,134.66,2029999.9999999998,0.0131,LIN
2017-09-20,137.99,136.8,138.72,136.66,1680000.0,0.0108,LIN
2017-09-21,138.57,138.1,138.94,137.825,923210.0,0.0042,LIN
2017-09-22,137.6,138.48,138.48,137.25,921960.0,-0.006999999999999999,LIN
2017-09-25,137.7,136.48,137.82,136.3,1650000.0,0.0007000000000000001,LIN
2017-09-26,138.43,138.5,140.64,137.92,1490000.0,0.0053,LIN
2017-09-27,138.71,139.205,139.99,137.32,1480000.0,0.002,LIN
2017-09-28,141.06,138.12,141.07,138.08,1450000.0,0.0169,LIN
2017-09-29,139.74,141.25,141.88,139.41,1300000.0,-0.009399999999999999,LIN
2017-10-02,141.19,139.59,141.26,139.24,920230.0,0.0104,LIN
2017-10-03,142.49,141.01,142.661,140.5,1010000.0,0.0092,LIN
2017-10-04,142.35,142.5,142.97,141.815,739190.0,-0.001,LIN
2017-10-05,142.35,142.56,142.73,141.76,803290.0,0.0,LIN
2017-10-06,141.96,142.07,142.38,141.5,1190000.0,-0.0027,LIN
2017-10-09,140.87,141.8,141.87,140.63,579920.0,-0.0077,LIN
2017-10-10,140.62,141.23,141.92,140.35,879570.0,-0.0018,LIN
2017-10-11,141.18,140.81,141.26,139.92,781670.0,0.004,LIN
2017-10-12,141.87,140.53,141.98,140.35,880850.0,0.0049,LIN
2017-10-13,142.21,142.28,142.87,141.87,648690.0,0.0024,LIN
2017-10-16,141.29,141.65,142.04,140.37,746580.0,-0.006500000000000001,LIN
2017-10-17,141.44,141.58,141.83,140.72,632960.0,0.0011,LIN
2017-10-18,139.9,141.23,141.23,139.9,937280.0,-0.0109,LIN
2017-10-19,140.41,139.83,140.74,139.54,881010.0,0.0036,LIN
2017-10-20,143.14,141.12,143.14,140.65,1190000.0,0.0194,LIN
2017-10-23,142.44,143.67,143.96,142.44,1230000.0,-0.0049,LIN
2017-10-24,142.95,143.66,144.58,142.61,1080000.0,0.0036,LIN
2017-10-25,143.62,142.98,143.94,142.44,1420000.0,0.004699999999999999,LIN
2017-10-26,149.6,144.64,149.91,143.29,2800000.0,0.0416,LIN
2017-10-27,148.14,149.25,149.77,147.84,2130000.0,-0.0098,LIN
2017-10-30,147.45,148.71,149.5,146.7,1730000.0,-0.004699999999999999,LIN
2017-10-31,146.12,147.85,147.899,146.1,1530000.0,-0.009000000000000001,LIN
2017-11-01,147.92,148.61,148.79,146.99,1320000.0,0.0123,LIN
2017-11-02,147.9,147.57,148.01,146.5,1230000.0,-0.0001,LIN
2017-11-03,147.5,147.61,147.965,146.48,1010000.0,-0.0027,LIN
2017-11-06,147.47,147.5,148.005,147.14,615860.0,-0.0002,LIN
2017-11-07,148.95,148.0,148.95,147.56,864010.0,0.01,LIN
2017-11-08,149.97,149.05,150.05,148.69,1760000.0,0.0068000000000000005,LIN
2017-11-09,148.46,149.16,150.25,148.35,1910000.0,-0.0101,LIN
2017-11-10,148.28,148.45,148.65,147.6,1280000.0,-0.0012,LIN
2017-11-13,148.15,146.39,148.57,145.74,1460000.0,-0.0009,LIN
2017-11-14,147.63,147.81,147.83,146.53,1060000.0,-0.0034999999999999996,LIN
2017-11-15,146.17,147.21,147.5,145.87,1940000.0,-0.009899999999999999,LIN
2017-11-16,149.04,147.5,149.08,146.78,1780000.0,0.0196,LIN
2017-11-17,150.64,149.11,151.44,149.04,2930000.0,0.010700000000000001,LIN
2017-11-20,150.87,150.64,151.18,150.42,1500000.0,0.0015,LIN
2017-11-21,151.35,151.36,152.28,150.79,2130000.0,0.0032,LIN
2017-11-22,151.72,151.81,152.49,151.19,2340000.0,0.0024,LIN
2017-11-24,152.88,153.05,153.85,152.76,807790.0,0.0076,LIN
2017-11-27,152.08,153.42,153.92,151.87,1250000.0,-0.0052,LIN
2017-11-28,156.36,152.33,156.4,151.79,2640000.0,0.0281,LIN
2017-11-29,155.17,156.27,156.27,154.33,1300000.0,-0.0076,LIN
2017-11-30,153.92,155.8,155.97,153.24,3180000.0,-0.008100000000000001,LIN
2017-12-01,151.87,153.73,153.87,151.531,2270000.0,-0.013300000000000001,LIN
2017-12-04,153.36,153.31,154.36,153.0,2300000.0,0.0098,LIN
2017-12-05,153.08,153.25,153.74,152.708,1310000.0,-0.0018,LIN
2017-12-06,150.39,151.74,152.04,150.24,1420000.0,-0.0176,LIN
2017-12-07,150.96,150.63,151.34,150.28,1650000.0,0.0038,LIN
2017-12-08,151.41,152.09,152.32,151.16,1420000.0,0.003,LIN
2017-12-11,152.26,152.1,152.75,151.78,3110000.0,0.005600000000000001,LIN
2017-12-12,151.34,151.92,152.71,150.81,1510000.0,-0.006,LIN
2017-12-13,151.27,152.35,152.35,150.76,1180000.0,-0.0005,LIN
2017-12-14,149.14,151.41,151.55,148.75,2500000.0,-0.0141,LIN
2017-12-15,149.6,149.66,149.95,148.78,3630000.0,0.0031,LIN
2017-12-18,153.33,150.52,153.45,150.5,2350000.0,0.024900000000000002,LIN
2017-12-19,154.17,154.22,154.51,153.32,1810000.0,0.0055000000000000005,LIN
2017-12-20,154.01,154.62,154.77,153.74,987330.0,-0.001,LIN
2017-12-21,154.1,154.47,154.7,153.65,1360000.0,0.0006,LIN
2017-12-22,153.84,154.42,154.61,153.351,509460.0,-0.0017000000000000001,LIN
2017-12-26,152.61,153.77,153.77,152.33,1960000.0,-0.008,LIN
2017-12-27,154.19,153.07,154.32,152.75,1570000.0,0.0104,LIN
2017-12-28,155.29,154.42,155.42,153.73,905790.0,0.0070999999999999995,LIN
2017-12-29,154.68,155.15,155.75,154.16,1920000.0,-0.0039000000000000003,LIN
2018-01-02,156.19,154.76,156.35,153.31,1070000.0,0.0098,LIN
2018-01-03,157.5,156.03,157.69,155.68,1430000.0,0.0084,LIN
2018-01-04,159.97,159.39,161.34,158.87,1900000.0,0.015700000000000002,LIN
2018-01-05,161.37,161.77,162.34,160.56,1700000.0,0.0088,LIN
2018-01-08,161.31,161.11,161.65,160.46,936660.0,-0.0004,LIN
2018-01-09,162.88,162.34,164.49,161.96,3370000.0,0.0097,LIN
2018-01-10,162.62,162.7,163.17,161.5,2420000.0,-0.0016,LIN
2018-01-11,163.81,164.11,166.08,163.31,2009999.9999999998,0.0073,LIN
2018-01-12,164.15,164.06,165.12,163.25,2640000.0,0.0021,LIN
2018-01-16,162.1,164.5,165.23,160.219,2750000.0,-0.0125,LIN
2018-01-17,163.46,163.55,164.23,161.46,1750000.0,0.0084,LIN
2018-01-18,161.5,162.98,164.51,161.4,1750000.0,-0.012,LIN
2018-01-19,161.88,162.2,162.35,161.29,1680000.0,0.0024,LIN
2018-01-22,160.62,161.57,161.7,159.61,1520000.0,-0.0078000000000000005,LIN
2018-01-23,159.23,159.66,160.81,158.51,1780000.0,-0.0087,LIN
2018-01-24,160.87,159.1,162.04,158.98,3700000.0,0.0103,LIN
2018-01-25,163.35,166.26,166.95,161.8,3390000.0,0.0154,LIN
2018-01-26,165.69,163.69,166.24,162.18,1870000.0,0.0143,LIN
2018-01-29,162.83,165.2,166.13,160.71,2980000.0,-0.0173,LIN
2018-01-30,160.72,162.7,162.935,160.66,2009999.9999999998,-0.013000000000000001,LIN
2018-01-31,161.49,161.43,162.33,160.04,3570000.0,0.0048,LIN
2018-02-01,159.83,159.84,160.9,158.93,1520000.0,-0.0103,LIN
2018-02-02,155.05,156.72,157.35,154.95,2089999.9999999998,-0.029900000000000003,LIN
2018-02-05,150.32,154.02,156.84,150.03,2590000.0,-0.0305,LIN
2018-02-06,155.31,150.15,156.39,148.02,3720000.0,0.0332,LIN
2018-02-07,150.01,154.56,154.78,150.0,2250000.0,-0.0341,LIN
2018-02-08,144.07,149.88,150.62,144.05,2049999.9999999998,-0.039599999999999996,LIN
2018-02-09,149.48,145.29,150.63,144.702,3120000.0,0.037599999999999995,LIN
2018-02-12,153.75,150.87,154.98,150.5,3100000.0,0.0286,LIN
2018-02-13,153.83,152.73,154.45,152.08,1400000.0,0.0005,LIN
2018-02-14,155.07,152.25,156.24,152.0,1620000.0,0.008100000000000001,LIN
2018-02-15,155.8,156.27,156.31,153.12,1630000.0,0.004699999999999999,LIN
2018-02-16,153.61,154.55,155.13,153.2,1590000.0,-0.0141,LIN
2018-02-20,153.6,152.25,154.26,151.64,2590000.0,-0.0001,LIN
2018-02-21,152.74,153.47,155.74,152.74,1830000.0,-0.005600000000000001,LIN
2018-02-22,153.67,153.87,154.955,153.14,1630000.0,0.0060999999999999995,LIN
2018-02-23,155.62,154.31,155.74,152.55,1590000.0,0.0127,LIN
2018-02-26,155.83,155.44,155.98,153.66,1020000.0,0.0013,LIN
2018-02-27,154.0,154.9,155.32,153.55,1240000.0,-0.011699999999999999,LIN
2018-02-28,149.75,154.15,154.5,149.66,1540000.0,-0.0276,LIN
2018-03-01,147.92,149.21,150.08,146.59,1920000.0,-0.012199999999999999,LIN
2018-03-02,149.43,147.24,149.98,146.65,1420000.0,0.0102,LIN
2018-03-05,152.74,148.81,153.42,148.51,1850000.0,0.0222,LIN
